LAURA FERNÁNDEZ,ÁLVARO RAMOS,CLAUDIA DOBLES,ARIEL ROBLES,FABRICIO ALVARADO,JOSÉ AGUILAR,OTROS,RESTO,scenario,LF_wins_R1
0.4550615492866414,0.04342217169311614,0.020274463643098595,0.02952150040222266,0.29557877325026566,0.0006090905843493381,0.023121440084570982,99.13241101105572,abstencion,False
67.23694677682857,7.9496010057475885,4.205579920654717,4.533597972232919,9.396593888174028,3.115163296177977,3.551237089659164,0.011280050525041975,momentum,True
56.36263150837416,9.760957415481085,8.112686857686905,9.955636136842783,2.8240965955214135,5.443905935178039e-05,4.123719297188519,8.860217749845791,momentum,True
14.285701746516407,14.285701746516407,14.285701746516407,14.285701746516407,14.285701746516407,14.285701746516407,14.285701746516407,8.777438514690848e-05,abstencion,False
37.845915990945116,8.12831534921058,2.272908635135078,2.4716331772173272,0.0834025185493637,0.0002707629241779803,5.129590317431588,44.067963248586764,proporcional,False
43.615095881418846,13.246083652152551,6.089756733397857,7.693484615427294,25.53236361434798,0.0016920296425246184,3.010414338087149,0.811109135525802,proporcional,True
69.97612349683212,10.69001687652358,7.477402471732552,5.533080928771041,0.0022015584400346807,2.6731835933592477e-05,6.309007284820504,0.012140651044229104,proporcional,True
4.2739083598039675,0.6360836410016206,0.3589075496099299,0.5308819026981397,0.029028474948730527,0.0005770136984849921,0.2588689154062047,93.91174414283292,proporcional,False
12.256427790131566,1.6709204297348925,0.6203935489991651,0.8907357968787997,8.660372043942871,0.028831527026015238,0.5061773828001717,75.36614148048652,momentum,False
70.58525892645824,8.920016719508894,6.084030390969909,3.6652597745903526,1.9739828019946508,1.081978870236864,7.194464851927737,0.4950076643133452,momentum,True
24.07067595738338,24.07067595738338,10.448885317107761,9.000586536712223,2.4723593535202264,22.892074090669123,7.044594891879335,0.00014789534457031528,abstencion,False
64.42432264256021,10.95109681184862,6.5053053183795955,8.838599378301303,3.7948550682530025,0.37997687739669267,4.591808564335981,0.5140353389246078,dispersion,True
54.41432613880151,9.799900403432526,3.6919247295459887,4.989570887326699,2.581521896832066,0.0002529700936473241,4.683158123622772,19.839344850344787,proporcional,True
63.24508202544535,19.161337363834782,3.2342110661604755,6.5628659757924055,0.5489571813784329,8.626702156804521e-07,7.107141813701872,0.14040371101645913,dispersion,True
29.129584399148456,20.50677199382547,18.534902643319388,15.72888408100259,1.024906382001053,9.358356613636731,5.716436711035678,0.00015717603063303523,momentum,False
20.460191524579788,5.216128418270318,1.962183950329997,2.4196787421901487,64.105829762055,0.045585977738452736,2.406068970666521,3.3843326541697665,momentum,False
1.7132974634752083,0.38675403956833915,0.1002542112325827,0.18522561369556453,28.982155440532235,0.00042022028344855544,0.239028428508281,68.39286458270435,abstencion,False
54.90273502955399,15.57441805343496,6.763603606271933,8.948823548786986,5.439421446917172,0.0575925194251433,8.30117583916314,0.01222995644669238,momentum,True
62.92086573829623,8.760129392845482,3.465817730833094,5.0892425104602355,0.3882702439457425,8.79792761524281e-05,5.056537664959686,14.319048739383382,proporcional,True
63.410038258799375,13.455776296852338,8.53790683590032,8.495155227320408,2.1070275801091918,0.07603149697250329,3.91634296258195,0.001721341463911434,dispersion,True
66.23547475843559,14.480869448285453,8.055563996005937,5.4140254580246205,0.16122965361743147,0.5339594572045737,5.117261558527708,0.0016156698986999902,dispersion,True
63.66543878000046,17.201785480868097,3.8701167086939576,7.440000409674461,0.46159046020860267,2.0557362949198646e-05,7.175255145466959,0.18579245772449932,proporcional,True
20.72742171599123,20.72742171599123,20.72742171599123,20.72742171599123,2.055233794658256,0.05981177489985719,14.975140212796411,0.00012735368056003676,proporcional,False
68.21354839373102,13.08662430186131,4.780542192971462,7.867095550554835,1.2549195177860861,4.117086174503236e-05,4.74018559500975,0.0570432772237983,proporcional,True
8.797350570485776,2.0215477017623265,0.3996483485018672,0.8208449844596796,86.45779204112738,3.653309096088639e-05,0.8172832296266849,0.6854965909453257,momentum,False
5.8884480393450715,1.7086656626365349,0.497990893793003,0.5851065274794098,12.31153970301767,0.000483541624556081,0.3090493850724877,78.69871624703127,dispersion,False
63.4930797245058,13.416477921287267,9.880199409489475,7.328045446508872,0.026633308841137435,0.029127029397711824,5.826042565098665,0.0003945948710744677,momentum,True
70.0763610403926,11.333369291143732,4.661900689046634,6.673966617030651,0.4170300655005021,5.043388740952172e-06,6.412530981297956,0.4248362721991784,momentum,True
67.20369246899764,10.44099968723548,2.875869604565189,4.860760560784575,4.073479725048178,8.612333563294791e-05,4.268351931743512,6.276759898289778,abstencion,True
53.71628076884801,15.433087905692792,10.06746288007248,6.592919187293105,5.3373974050496775,0.028837019296742226,8.823684789511331,0.0003300442358748025,dispersion,True
51.35486388801656,16.21510249368304,5.9040478181631135,10.139861172695525,2.0082342824669843,0.0041849516194625794,5.61962670948988,8.754078683865423,proporcional,True
14.236546105112886,1.832350390341893,0.9701028002814815,1.6520460657550096,0.051161725091011766,0.0004903952657011413,1.4431233360957458,79.81417918205626,dispersion,False
74.73677544396593,9.222758892672434,5.232690031655301,5.468819154721484,1.1989522239093113,0.01305932868658863,4.096023715275843,0.03092120911312297,momentum,True
54.42379453104946,24.38742712420137,7.087299463605395,7.632991633503375,0.5951636882451511,5.479647821039596e-06,5.329408106641414,0.5439099731060342,proporcional,True
62.69224256429326,10.785029701329089,3.9431224504145574,4.684153569016643,14.307011966321522,0.03431642202303545,2.880137289643587,0.6739860369583185,proporcional,True
60.38619766138203,15.035494119227033,3.795940998377013,7.638491906112791,5.262210164208998,1.8888673772266996e-05,4.807424102031434,3.074222159986925,proporcional,True
7.529080945377248,0.9333792152612017,0.4788275508960909,0.5121226447354297,2.027130132707945,0.0005407124972254228,0.5153690949524531,88.0035497035724,proporcional,False
64.82390003436689,13.347117984388186,5.375713460298208,6.7910259574825815,3.507333979811184,0.0007028187907734341,4.378695839714543,1.775509925147662,proporcional,True
65.94466553249048,11.863698605178406,8.140286254916687,5.276772338471305,3.7533783010714874,0.20389477811135218,4.80291240537452,0.014391784385768748,proporcional,True
21.56373982325011,21.56373982325011,21.56373982325011,16.964549609832638,5.839439062720744,0.47710341015105234,12.027555955348635,0.0001324921966059688,dispersion,False
23.362758572470952,2.9267778848234456,2.192137626399882,1.9478697929808064,67.63427428081408,0.01361840819873405,1.9082536265268921,0.014309807785218415,momentum,False
22.481027648930898,18.666876333383552,16.360211231315922,18.666876333383552,15.841414958972722,0.13286719955684012,7.850611601204348,0.00011469325216562523,momentum,False
64.04183012447899,8.876917364167241,2.24037183440304,3.157745736215113,0.6844212177372465,8.925316503393425e-05,6.472244211249433,14.526380258583902,dispersion,True
58.13107649054606,17.78305955451537,7.210290034998345,9.15879008931622,1.8503160325848795,0.00021181434016325404,5.729646247590957,0.13660973610802096,proporcional,True
7.28688025218754,1.0996551563842176,0.5791629946482788,0.8806827783180105,5.563739840857596,0.0005169530756864069,0.45277201777496556,84.1365900067537,proporcional,False
34.967404914623934,6.3614991502853835,1.8497402988919485,2.076836888135025,42.7308144079387,9.21226338949948,2.801104620843361,0.00033632978217259504,dispersion,False
28.995315114545523,4.0604051546713364,3.6106511131639656,2.479649644581167,29.4377626037867,29.4377626037867,1.9782728935999556,0.0001808718646445295,dispersion,False
