,count,mean,std,min,5%,10%,50%,90%,95%,max
LAURA FERNÁNDEZ,200000.0,40.51328199218011,3.4787078572380885,23.467259766604126,34.72902770639034,36.07116973314571,40.55306170420988,44.93012500712976,46.1675660545096,55.29209413868418
ÁLVARO RAMOS,200000.0,7.622383658839535,1.8713099262680382,0.9024910214138674,4.533602656528396,5.228204995248979,7.625208563833491,10.01334792004874,10.688061434765004,16.877229526061154
CLAUDIA DOBLES,200000.0,3.7055770767079443,1.7531699210135134,0.7902126055297056,1.0,1.2009390641146387,3.64838733556785,6.043628272456453,6.7169942462160845,12.375940977528495
ARIEL ROBLES,200000.0,3.6749391387231207,1.7502057236430535,0.7762584537139866,1.0,1.167004613181783,3.6088400407790813,6.016525098550528,6.69589081937376,12.149260022683933
FABRICIO ALVARADO,200000.0,4.094739121765112,1.7962891018560387,0.7896477119382467,1.0000000000000002,1.6212181018970908,4.0676014606052,6.452097336721942,7.134716638191242,12.571639562088016
JOSÉ AGUILAR,200000.0,2.239376710451097,1.3846431469694995,0.7669206837232119,0.9217562010565541,0.9542746725015792,1.8434445329701068,4.266507254861043,4.947738083962997,10.068981320737292
OTROS,200000.0,3.14457185343563,1.6612349678183893,0.7748852793459754,0.9707412254174512,1.0,3.0188927176886815,5.420187256835962,6.092952641824177,11.137976491237216
RESTO,200000.0,1.9164319447063003,3.4735632655827358,0.0,0.0,0.0,0.0,7.080284615149503,9.710019740497895,22.116574662011086
