,count,mean,std,min,5%,10%,50%,90%,95%,max
LAURA FERNÁNDEZ,200000.0,44.993227304285725,19.33446489411186,13.14096213446992,14.891668090397236,18.85047261099445,43.91866804051368,72.48566195403899,77.8893228961195,97.44993686923074
ÁLVARO RAMOS,200000.0,17.95704162123161,12.139880980639617,0.2482249232872292,3.826138597106621,5.26724618838902,14.99868592693505,35.03493423790771,42.365963673360326,80.67764779126743
FABRICIO ALVARADO,200000.0,5.034139227232007,3.2476781217690873,0.09252756726668415,1.4135982778859575,1.8178725361160604,4.247967319426689,9.24026673045267,11.297911907361824,44.88366666223038
ARIEL ROBLES,200000.0,10.622419017991579,9.651745743033844,0.045400780397403855,1.4420572909923766,2.1022109126851425,7.587048902279084,23.284530657801053,30.53283583779078,79.48861090878987
CLAUDIA DOBLES,200000.0,8.198814192871646,9.346488478186785,0.016746770560526376,0.681321002474228,1.0670761677510034,4.90143569471215,19.62830668397059,27.39221654556034,82.64843260013716
OTROS,200000.0,9.265340079094674,6.575737272178652,0.13194097279026534,2.1503116274250886,2.8732976949754505,7.554147635176286,17.91797721660423,22.28610610229442,64.33590430495997
RESTO,200000.0,3.929018557292749,1.7146717585123628,0.14339450625354688,1.6007603194058022,1.9579660830576129,3.676656755207,6.212133506699576,7.10414544422092,17.121046067181194
