,count,mean,std,min,5%,10%,50%,90%,95%,max
LAURA FERNÁNDEZ,200000.0,42.41346508821474,2.78591612552103,29.999999999999996,37.7763459828145,38.84773009189816,42.4391091174969,45.94863609676245,46.92777603739331,54.999999999999986
ÁLVARO RAMOS,200000.0,8.869561714970262,1.704697303048338,1.1844216382972874,6.048946295884082,6.685511296684996,8.879520889399831,11.048835046548435,11.660160521980092,16.184794956504774
CLAUDIA DOBLES,200000.0,8.303208248045918,1.6058507378843512,1.0784912331049075,5.649513128752942,6.250569586056773,8.307156283048425,10.356631296081273,10.929653015563591,15.191386077629174
ARIEL ROBLES,200000.0,3.670711155281032,0.9546911914427295,0.18612924067420214,2.0978922368221222,2.4513505872557575,3.669435990353792,4.890271067347446,5.245300375951122,8.104700824950156
FABRICIO ALVARADO,200000.0,1.4864853928890818,0.8779370173009609,0.16028339042854486,0.19834735383131988,0.20833364215718106,1.4473545403256296,2.6645042819369693,3.007178691955654,5.517407243259764
JOSÉ AGUILAR,200000.0,2.7022488984078312,0.9540005997213601,0.16411675573365456,1.1212975581190974,1.4731040344140807,2.701039064945716,3.9268395697743665,4.274586557340901,7.040856146629783
JUAN CARLOS HIDALGO,200000.0,2.416473727268798,0.948738172720405,0.17040323130401205,0.8325414678594295,1.1832890506030567,2.417820860978816,3.6378758641638886,3.984138783316633,6.25273982487835
OTROS,200000.0,1.8539697955043428,0.9228456213567187,0.1548798937320088,0.24546478141198644,0.6043830565075937,1.84130043073805,3.0618148758788712,3.4119128598996564,5.966042330411305
RESTO,200000.0,1.3449059790471205,2.5750020784507637,0.0,0.0,0.0,0.0,5.131185836185528,7.191604596654319,20.726480732220416
