,count,mean,std,min,5%,10%,50%,90%,95%,max
LAURA FERNÁNDEZ,100000.0,45.246800619151166,22.30839284334049,0.0006143594152935003,3.2995176354104085,11.332418587151963,52.95418953234318,69.39480942111527,72.24570793791285,86.64161887994626
ÁLVARO RAMOS,100000.0,11.33069775350453,6.163969789170733,0.0006094384444795241,0.602849323700436,2.1755375563870345,11.549887642181073,19.036734076769637,21.278635993971893,39.12996540247802
CLAUDIA DOBLES,100000.0,5.780141314689257,4.37184310025916,0.0005611150052258627,0.21470778938783527,0.7845755427430992,5.027483297406473,12.01240625912191,15.730969592147934,26.829494940285954
ARIEL ROBLES,100000.0,6.0668597219886795,4.105434034892398,0.0006094384444795241,0.29727828756298474,1.0483417783817228,5.595631083989815,11.15486230756983,14.927610115610241,26.064755509550814
FABRICIO ALVARADO,100000.0,12.059013666508717,20.07019236635056,5.4843505350910576e-05,0.026982658297561805,0.08142666127253728,2.850157524105616,38.468335838224014,62.71931240067133,99.93445603157124
JOSÉ AGUILAR,100000.0,2.4863156920328806,9.40983215713415,7.1407934294815545e-09,1.3003634029559586e-05,4.644171575146817e-05,0.004165031150395229,4.933500099988584,14.28570174651641,99.94186178873382
OTROS,100000.0,5.134632081588256,3.9526990728564755,0.0006094384444795241,0.2240402762239219,0.787692927211128,4.4678668308481555,9.609253514934196,14.28570174651641,25.022077914775867
RESTO,100000.0,11.895539150536258,26.445696740052476,8.308459156853383e-05,0.00010850541795027818,0.00020719666789632314,0.11954971098893924,54.91146344055118,89.59067215105249,99.99569923632632
